crop_id,effect_id
1,53
1,46
1,19
1,21
1,13
2,9
2,3
2,53
2,50
2,19
3,49
3,57
3,3
4,46
4,26
4,53
5,3
5,53
5,12
5,19
6,19
6,31
6,17
7,39
7,40
7,27
7,42
7,57
7,25
8,49
8,53
8,13
9,26
9,31
9,57
9,51
10,51
10,24
10,53
11,46
11,26
11,53
11,3
12,2
12,11
13,57
13,5
13,47
13,49
13,37
14,31
14,53
14,17
14,57
15,57
15,50
15,17
16,50
16,57
16,6
16,46
17,46
17,58
17,17
18,31
18,44
19,2
19,51
19,45
19,3
21,18
21,10
22,32
22,50
23,28
23,50
23,57
23,53
23,17
24,28
24,17
24,46
24,19
25,54
25,29
25,46
25,50
25,19
26,3
26,13
26,29
27,51
27,43
27,23
27,7
28,3
28,28
28,50
29,19
29,50
29,51
29,53
30,9
30,57
30,50
31,51
31,53
31,17
31,46
31,19
32,10
32,31
32,53
33,24
33,53
33,19
33,3
34,19
34,50
34,15
34,52
34,51
35,22
35,19
35,51
36,25
36,10
36,46
37,54
37,51
37,19
37,53
38,46
38,53
38,17
39,51
39,35
39,3
39,39
40,54
40,50
40,13
41,24
41,19
41,50
41,17
42,24
42,3
43,19
43,51
44,57
44,50
44,29
44,53
45,26
45,50
45,19
45,29
46,53
46,20
46,51
47,38
47,57
47,19
47,13
48,34
48,19
48,57
49,53
49,24
49,57
49,46
50,56
50,50
50,46
50,17
51,24
51,57
51,17
51,19
52,17
52,31
52,28
52,19
53,21
53,51
53,9
53,50
54,50
54,46
54,51
54,53
55,50
55,46
55,51
56,19
56,17
56,46
56,13
57,13
58,15
58,10
58,51
58,1
58,53
59,36
59,13
59,31
60,39
60,55
60,13
61,51
61,26
61,19
61,17
62,13
62,51
62,30
63,53
64,57
64,58
64,19
65,19
65,46
65,31
65,24
66,3
66,46
66,24
67,19
67,17
67,31
68,29
68,24
68,17
69,53
69,51
69,31
69,17
70,32
70,39
70,10
71,51
71,13
71,56
71,17
72,48
72,46
72,24
72,19
73,56
73,19
73,4
74,13
74,8
74,52
74,51
75,53
75,46
75,17
75,51
