effect,symptom,id
간기능개선,간기능 장애,1
감기예방,감기,2
고혈압예방,고혈압,3
골다공증예방,골다공증,4
관절통완화,관절통,5
기관지,기관지 문제,6
기관지염,기관지염,7
기초대사량증진,기초대사량 저하,8
나트륨배출,나트륨 과다섭취,9
노화방지,노화,10
눈건강,눈건강 문제,11
눈피로회복,눈피로,12
다이어트,비만,13
당뇨예방,당뇨,14
동맥경화,동맥경화,15
두뇌발달,두뇌발달 장애,16
면역력,면역력 감소,17
발한촉진,무한증,18
변비,변비,19
부기제거,부기,20
부종예방,부종,21
불면증해소,불면증,22
비염,비염,23
빈혈,빈혈,24
성인병예방,성인병,25
성장발육,발육부진,26
소염,염증,27
소화촉진,소화불량,28
숙취해소,숙취,29
스트레스해소,스트레스,30
시력보호,시력저하,31
식욕촉진,식욕감퇴,32
식중독예방,식중독,33
신경안정,신경불안정,34
신장병,신장질환,35
안구건조증예방,안구건조증,36
여성질환개선,여성질환,37
위보호,위장장애,38
이뇨작용,배뇨장애,39
정맥증치료,정맥증,40
정장작용,장질환,41
지혈,출혈,42
천식,천식,43
체질개선,체질문제,44
치주염예방,치주염,45
콜레스테롤저하,고지혈증,46
타박상,타박상,47
탈모예방,탈모,48
통증완화,통증,49
피로회복,피로,50
피부미용,피부질환,51
항산화효과,노화,52
항암효과,암,53
해독작용,체내독소,54
해열,발열,55
혈관질환,혈관질환,56
혈액순환,혈액순환 장애,57
호흡기질환,호흡기질환,58
